address,latitude,longitude
19701 WYOMING STREET DETROIT 48221,42.437934,-83.163179
8401 TRINITY STREET DETROIT 48228,42.35443,-83.24757
420 W SEVEN MILE ROAD DETROIT 48203,42.432706,-83.107435
18017 E WARREN AVE DETROIT 48224,42.410336,-82.919065
4203 STURTEVANT ST DETROIT 49204,42.382483,-83.131695
25200 GIBRALTAR RD FLAT ROCK 48134,42.094534,-83.27718
32000 HARPER AVE ST CLAIR SHORES 48082,42.530979,-82.88903
15491 MADDELEIN ST DETROIT 48205,42.437343,-82.961939
253 E. MILWAUKEE AVE DETROIT 48202,42.370605,-83.069423
19299 BERG ROAD DETROIT 48219,42.432317,-83.268647
20331 FARMINGTON RD LIVONIA 48152,42.437916,-83.375561
6902 CHICAGO RD WARREN 48092,42.524212,-83.036023
18001 SUNSET ST DETROIT 48234,42.426174,-83.060869
5680 KONKEL STREET DETROIT 48210,42.327141,-83.110826
5540 TALBOT ST HAMTRAMCK 48212,42.408201,-83.046436
1000 SCOTTEN STREET DETROIT 48209,42.316084,-83.089428
30100 7 MILE LIVONIA 48152,42.427334,-83.343132
3666 GRAND RIVER DETROIT 48208,42.343274,-83.074574
4337 MAPLE ST DEARBORN 48126,42.319231,-83.17746
715 E CANFIELD ST DETROIT 48201,42.356578,-83.052626
16908 SEVEN MILE W DETROIT 48235,42.430406,-83.210679
601 BAGLEY ST DETROIT 48226,42.332722,-83.056458
13330 TRENTON RD SOUTHGATE 48195,42.210963,-83.193971
751 E GRAND BLVD DETROIT 48207,42.363237,-83.013104
18391 MORANG DETROIT 48205,42.429844,-82.958793
1044 W. BRISTOL RD FLINT 48507,42.974147,-83.695902
5301 RUSSELL ST DETROIT 48211,42.365017,-83.054526
25670 NORTHLINE RD TAYLOR 48180,42.211687,-83.286149
4880 LAWNDALE ST DETROIT 48210,42.328335,-83.14701
2260 S FORT ST DETROIT 48217,42.274313,-83.158192
6420 N NEWBURGH RD WESTLAND 48185,42.330888,-83.408757
5221 GULLEN MALL DETROIT 48202,42.358068,-83.070888
1754 N RADEMACHER ST DETROIT 48209,42.313065,-83.112606
735 E STEWART AVE FLINT 48505,43.054149,-83.692294
101 N GRAND TRAVERSE ST FLINT 48503,43.014818,-83.695884
9053 WOODWARD AVE DETROIT 48202,42.382537,-83.081836
7354 WHITTAKER ST DETROIT 48209,42.31232,-83.123607
16101 GRAND RIVER DETROIT 48227,42.395192,-83.20538
1847 SYCAMORE ST DETROIT 48208,42.339408,-83.076164
19321 W CHICAGO DETROIT 48228,42.364352,-83.23076
13000 ESSEX AVE DETROIT 48215,42.363643,-82.947863
5020 CADIEUX ROAD DETROIT 48224,42.407868,-82.928861
12461 CONANT DETROIT 48212,42.410731,-83.058562
12521 DEXTER AVE DETROIT 48206,42.384755,-83.127953
123 SELDEN STREET DETROIT 48201,42.348563,-83.060912
1145 W GRAND BLVD DETROIT 48208,42.334997,-83.101492
1034 MONROE ST DEARBORN 48124,42.30556,-83.244045
306 N DIVISION ST ANN ARBOR 48104,42.283316,-83.743158
7625 LINWOOD ST DETROIT 48206,42.363006,-83.101955
32851 GRATIOT ROSEVILLE 48066,42.538392,-82.910539
2400 SAGINAW ST DETROIT MI,42.37804,-83.034853
